filename,doi,title,year,doi_source
acsami.7b02580,10.1021/acsami.7b02580,Synthesis and Enhanced Corrosion Protection Performance of Reduced Graphene Oxide Nanosheet/ZnAl Layered Double Hydroxide Composite Films by Hydrothermal Continuous Flow Method,,doi_merged.csv
acsami.7b02580 - Copy,10.1002/9781119208105,Copy Copy Copy,2012,crossref_api
acsami.8b04022,10.1021/acsami.8b04022,Pd NP-Loaded and Covalently Cross-Linked COF Membrane Microreactor for Aqueous CBs Dechlorination at Room Temperature,,doi_merged.csv
acscentsci.1c00303,10.1021/acscentsci.1c00303,Rapid Optimization of Photoredox Reactions for Continuous-Flow Systems Using Microscale Batch Technology,,doi_merged.csv
acscombsci.9b00212,10.1021/acscombsci.9b00212,High-Throughput Experimentation and Continuous Flow Evaluation of Nucleophilic Aromatic Substitution Reactions,,doi_merged.csv
acssuschemeng.1c02557,10.1021/acssuschemeng.1c02557,Development of a ZnO Nanowire Continuous Flow Microreactor with β-Glucosidase Activity: Characterization and Application for the Glycosylation of Natural Products,,doi_merged.csv
acssuschemeng.5b00397,10.1021/acssuschemeng.5b00397,Continuous Flow Metathesis for Direct Valorization of Food Waste: An Example of Cocoa Butter Triglyceride,,doi_merged.csv
acssuschemeng.5b01541,10.1021/acssuschemeng.5b01541,"A General, Green Chemistry Approach for Immobilization of Inorganic Catalysts in Monolithic Porous Flow-Reactors",,doi_merged.csv
acssuschemeng.7b04012,10.1021/acssuschemeng.7b04012,Real-Time Spectroscopic Analysis Enabling Quantitative and Safe Consumption of Fluoroform during Nucleophilic Trifluoromethylation in Flow,,doi_merged.csv
acssuschemeng.9b05954,10.1021/acssuschemeng.9b05954,Continuous Flow Synthesis of Methyl Oximino Acetoacetate: Accessing Greener Purification Methods with Inline Liquid–Liquid Extraction and Membrane Separation Technology,,doi_merged.csv
adsc.200900726,10.1002/adsc.200900726,Mechanistic Insights into Copper(I)‐Catalyzed Azide‐Alkyne Cycloadditions using Continuous Flow Conditions,,doi_merged.csv
adsc.201000375,10.1002/adsc.201000375,"2‐<i>tert</i>‐Butylimino‐2‐diethylamino‐1,3‐dimethylperhydro‐1,3,2‐ diazaphosphorine Supported on Polystyrene (PS‐BEMP) as an Efficient Recoverable and Reusable Catalyst for the Phenolysis of Epoxides under Solvent‐Free Conditions",,doi_merged.csv
adsc.201401010,10.1002/adsc.201401010,Metal‐Free Photocatalytic Aerobic Oxidation of Thiols to Disulfides in Batch and Continuous‐Flow,,doi_merged.csv
aic.16840,10.1002/aic.16840,Flow‐based reactor design for the continuous production of polymeric nanoparticles,,doi_merged.csv
ajoc.201402119,10.1002/ajoc.201402119,Continuous Flow and Microwave‐Assisted Vorbrüggen Glycosylations: Historical Perspective to High‐Throughput Strategies,,doi_merged.csv
amp2.10043,10.1002/amp2.10043,Life cycle assessment and cost evaluation of emerging technologies at early stages: The case of continuous flow synthesis of Rufinamide,,doi_merged.csv
amp2.10047,10.1002/amp2.10047,First generation of translucent monoliths for photochemical applications,,doi_merged.csv
amt-4-445-2011,10.5194/amt-4-445-2011,"Characterization of aerosol photooxidation flow reactors: heterogeneous oxidation, secondary organic aerosol formation and cloud condensation nuclei activity measurements",,doi_merged.csv
amt-8-4863-2015,10.5194/amt-8-4863-2015,HO <sub>x</sub> radical chemistry in oxidation flow reactors with low-pressure mercury lamps systematically examined by modeling,,doi_merged.csv
ange.200500792,10.1002/ange.200500792,A Microfabricated Gas–Liquid Segmented Flow Reactor for High‐Temperature Synthesis: The Case of CdSe Quantum Dots,,doi_merged.csv
ange.201006272,10.1002/ange.201006272,Safe and Efficient Tetrazole Synthesis in a Continuous‐Flow Microreactor,,doi_merged.csv
ange.201607795,10.1002/ange.201607795,Continuous Consecutive Reactions with Inter‐Reaction Solvent Exchange by Membrane Separation,,doi_merged.csv
ange.201703852,10.1002/ange.201703852,Continuous Synthesis and Purification by Coupling a Multistep Flow Reaction with Centrifugal Partition Chromatography,,doi_merged.csv
ange.201704529,10.1002/ange.201704529,A Unified Continuous Flow Assembly‐Line Synthesis of Highly Substituted Pyrazoles and Pyrazolines,,doi_merged.csv
anie.200701434,10.1002/anie.200701434,Multistep Continuous‐Flow Microchemical Synthesis Involving Multiple Reactions and Separations,,doi_merged.csv
anie.200904285,10.1002/anie.200904285,Microfluidics in Inorganic Chemistry,,doi_merged.csv
anie.201002490,10.1002/anie.201002490,A Microchemical System with Continuous Recovery and Recirculation of Catalyst‐Immobilized Magnetic Particles,,doi_merged.csv
anie.201006272,10.1002/anie.201006272,Safe and Efficient Tetrazole Synthesis in a Continuous‐Flow Microreactor,,doi_merged.csv
anie.201006412,10.1002/anie.201006412,Investigation of Indium Phosphide Nanocrystal Synthesis Using a High‐Temperature and High‐Pressure Continuous Flow Microreactor,,doi_merged.csv
anie.201006412 (1),10.1093/benz/9780199773787.article.b00005362,Anie-Mouroux,2011,crossref_api
anie.201202795,10.1002/anie.201202795,Continuous Synthesis and Purification by Direct Coupling of a Flow Reactor with Simulated Moving‐Bed Chromatography,,doi_merged.csv
anie.201302239,10.1002/anie.201302239,Heating under High‐Frequency Inductive Conditions: Application to the Continuous Synthesis of the Neurolepticum Olanzapine (Zyprexa),,doi_merged.csv
anie.201410717,10.1002/anie.201410717,Reactions of Difunctional Electrophiles with Functionalized Aryllithium Compounds: Remarkable Chemoselectivity by Flash Chemistry,,doi_merged.csv
anie.201703852,10.1002/anie.201703852,Continuous Synthesis and Purification by Coupling a Multistep Flow Reaction with Centrifugal Partition Chromatography,,doi_merged.csv
anie.201704529,10.1002/anie.201704529,A Unified Continuous Flow Assembly‐Line Synthesis of Highly Substituted Pyrazoles and Pyrazolines,,doi_merged.csv
anie.201711072,10.1002/anie.201711072,On‐Demand Production of Flow‐Reactor Cartridges by 3D Printing of Thermostable Enzymes,,doi_merged.csv
anie.201712568,10.1002/anie.201712568,Continuous Heterogeneous Photocatalysis in Serial Micro‐Batch Reactors,,doi_merged.csv
anie.201802256,10.1002/anie.201802256,7‐Step Flow Synthesis of the HIV Integrase Inhibitor Dolutegravir,,doi_merged.csv
anie.201910828,10.1002/anie.201910828,Dimethyl Dihydroacridines as Photocatalysts in Organocatalyzed Atom Transfer Radical Polymerization of Acrylate Monomers,,doi_merged.csv
anie.201912419,10.1002/anie.201912419,A Novel Approach to Functionalization of Aryl Azides through the Generation and Reaction of Organolithium Species Bearing Masked Azides in Flow Microreactors,,doi_merged.csv
asia.200900705,10.1002/asia.200900705,Flash Chemistry Extensively Optimized: High‐Temperature Swern–Moffatt Oxidation in an Automated Microreactor Platform,,doi_merged.csv
b006728h,10.1039/b006728h,The preparation of a series of nitrostilbene ester compounds using micro reactor technology,,doi_merged.csv
b208382p,10.1039/b208382p,Glass microchip with three-dimensional microchannel network for 2 × 2 parallel synthesis,,doi_merged.csv
b315236g,10.1039/b315236g,Recent advances in the synthesis of supported metathesis catalysts,,doi_merged.csv
b419081e,10.1039/b419081e,Thermal optimisation of the Reimer–Tiemann reaction using thermochromic liquid crystals on a microfluidic reactor,,doi_merged.csv
b924309g,10.1039/b924309g,"The continuous flow synthesis of butane-2,3-diacetal protected building blocks using microreactors",,doi_merged.csv
biot.201800244,10.1002/biot.201800244,Demystifying the Flow: Biocatalytic Reaction Intensification in Microstructured Enzyme Reactors,,doi_merged.csv
bit.10613,10.1002/bit.10613,Economically pertinent continuous amide formation by direct lipase‐catalyzed amidation with ammonia,,doi_merged.csv
bit.26470,10.1002/bit.26470,Enzymatic synthesis of chiral amino‐alcohols by coupling transketolase and transaminase‐catalyzed reactions in a cascading continuous‐flow microreactor system,,doi_merged.csv
bit.26497,10.1002/bit.26497,Design of a novel continuous flow reactor for low pH viral inactivation,,doi_merged.csv
bjoc.12.170,10.3762/bjoc.12.170,A flow reactor setup for photochemistry of biphasic gas/liquid reactions,,doi_merged.csv
bjoc.14.52,10.3762/bjoc.14.52,Heterogeneous Pd catalysts as emulsifiers in Pickering emulsions for integrated multistep synthesis in flow chemistry,,doi_merged.csv
bjoc.5.19,10.3762/bjoc.5.19,Asymmetric reactions in continuous flow,,doi_merged.csv
bjoc.5.29,10.3762/bjoc.5.29,From discovery to production: Scale-out of continuous flow meso reactors,,doi_merged.csv
bjoc.9.211,10.3762/bjoc.9.211,Ethyl diazoacetate synthesis in flow,,doi_merged.csv
bm501320b,10.1021/bm501320b,Nanofibrillar Chitin Aerogels as Renewable Base Catalysts,,doi_merged.csv
c0gc00133c,10.1039/c0gc00133c,Heterogeneous catalytic synthesis using microreactor technology,,doi_merged.csv
c0lc00321b,10.1039/c0lc00321b,Droplet synthesis of well-defined block copolymers using solvent-resistant microfluidic device,,doi_merged.csv
c0nr00141d,10.1039/c0nr00141d,Access to small size distributions of nanoparticles by microwave-assisted synthesis. Formation of Ag nanoparticles in aqueous carboxymethylcellulose solutions in batch and continuous-flow reactors,,doi_merged.csv
c1ee01295a,10.1039/c1ee01295a,Enzyme-based biohybrid foams designed for continuous flow heterogeneous catalysis and biodiesel production,,doi_merged.csv
c2cy20260c,10.1039/c2cy20260c,Heterogeneous catalysis with continuous flow microreactors,,doi_merged.csv
c2gc36652e,10.1039/c2gc36652e,"Safe, efficient and selective synthesis of dinitro herbicidesvia a multifunctional continuous-flow microreactor: one-step dinitration with nitric acid as agent",,doi_merged.csv
c3cy00282a,10.1039/c3cy00282a,Heterogeneous catalysis in an oscillatory baffled flow reactor,,doi_merged.csv
c3ra43921f,10.1039/c3ra43921f,Polystyrene-immobilized DABCO as a highly efficient and recyclable organocatalyst for the Knoevenagel condensation reaction,,doi_merged.csv
c4lc00330f,10.1039/c4lc00330f,Tools for chemical synthesis in microsystems,,doi_merged.csv
c4lc00390j,10.1039/c4lc00390j,Microfluidic remote loading for rapid single-step liposomal drug preparation,,doi_merged.csv
c4lc00429a,10.1039/c4lc00429a,Nanocrystal synthesis in microfluidic reactors: where next?,,doi_merged.csv
c4ra06814a,10.1039/c4ra06814a,Continuous-flow synthesis of polymer nanoparticles in a microreactor via miniemulsion photopolymerization,,doi_merged.csv
c7gc01055a,10.1039/c7gc01055a,"A continuous flow process for the production of 2,5-dimethylfuran from fructose using (non-noble metal based) heterogeneous catalysis",,doi_merged.csv
c9ra01347d,10.1039/c9ra01347d,The Chapman rearrangement in a continuous-flow microreactor,,doi_merged.csv
catal7050146,10.3390/catal7050146,Palladium-Catalyzed Suzuki–Miyaura Cross-Coupling in Continuous Flow,,doi_merged.csv
cc050107o,10.1021/cc050107o,Continuous-Flow High Pressure Hydrogenation Reactor for Optimization and High-Throughput Synthesis,,doi_merged.csv
cctc.201400028,10.1002/cctc.201400028,A Falling‐Film Microreactor for Enzymatic Oxidation of Glucose,,doi_merged.csv
cctc.201402483,10.1002/cctc.201402483,Immobilized Transition Metals as Catalysts for Cross‐Couplings in Continuous Flow—A Critical Assessment of the Reaction Mechanism and Metal Leaching,,doi_merged.csv
cctc.201900807,10.1002/cctc.201900807,Catalytic Transformation of Biomass Derivatives to Value‐Added Chemicals and Fuels in Continuous Flow Microreactors,,doi_merged.csv
cctc.201901129,10.1002/cctc.201901129,From Immobilization to Catalyst Use: A Complete Continuous‐Flow Approach Towards the Use of Immobilized Organocatalysts,,doi_merged.csv
ceat.200407124,10.1002/ceat.200407124,The Application of Microreactors for Small Scale Organic Synthesis,,doi_merged.csv
ceat.200600353,10.1002/ceat.200600353,High Rate Convergent Synthesis and Deposition of Polyamide Dendrimers using a Continuous‐Flow Microreactor,,doi_merged.csv
ceat.200700277,10.1002/ceat.200700277,Synthesis of Hyperbranched Polyglycerol in a Continuous Flow Microreactor,,doi_merged.csv
ceat.200900272,10.1002/ceat.200900272,Accessing Novel Process Windows in a High‐Temperature/Pressure Capillary Flow Reactor,,doi_merged.csv
ceat.200900474,10.1002/ceat.200900474,Novel Process Windows – Gate to Maximizing Process Intensification via Flow Chemistry,,doi_merged.csv
ceat.201200578,10.1002/ceat.201200578,Strategies for Using Microreactors and Flow Chemistry: Drivers and Tools,,doi_merged.csv
ceat.201200631,10.1002/ceat.201200631,Future Production Concepts in the Chemical Industry: Modular – Small‐Scale – Continuous,,doi_merged.csv
ceat.201200703,10.1002/ceat.201200703,Packed‐Bed Microreactor for Continuous‐Flow Adipic Acid Synthesis from Cyclohexene and Hydrogen Peroxide,,doi_merged.csv
ceat.201400581,10.1002/ceat.201400581,Nafion‐H‐Catalyzed High‐Temperature/High‐Pressure Synthesis of a Triarylmethane in Continuous‐Flow Mode,,doi_merged.csv
celc.202000696,10.1002/celc.202000696,A Continuous Flow Cell for High‐Temperature/High‐Pressure Electroorganic Synthesis,,doi_merged.csv
challe3020114,10.3390/challe3020114,Continuous-Flow Processes in Heterogeneously Catalyzed Transformations of Biomass Derivatives into Fuels and Chemicals,,doi_merged.csv
chem.200305212,10.1002/chem.200305212,Continuous Flow Techniques in Organic Synthesis,,doi_merged.csv
chem.200600236,10.1002/chem.200600236,Combining Enabling Techniques in Organic Synthesis: Continuous Flow Processes with Heterogenized Catalysts,,doi_merged.csv
chem.200600596,10.1002/chem.200600596,Microreactors as Tools for Synthetic Chemists—The Chemists' Round‐Bottomed Flask of the 21st Century?,,doi_merged.csv
chem.200800582,10.1002/chem.200800582,Flash Chemistry: Fast Chemical Synthesis by Using Microreactors,,doi_merged.csv
chem.200802200,10.1002/chem.200802200,Heterogeneous Versus Homogeneous Palladium Catalysts for Ligandless Mizoroki–Heck Reactions: A Comparison of Batch/Microwave and Continuous‐Flow Processing,,doi_merged.csv
chem.201102065,10.1002/chem.201102065,The Microwave‐to‐Flow Paradigm: Translating High‐Temperature Batch Microwave Chemistry to Scalable Continuous‐Flow Processes,,doi_merged.csv
chem.201505139,10.1002/chem.201505139,Continuous‐Flow Microwave Synthesis of Metal–Organic Frameworks: A Highly Efficient Method for Large‐Scale Production,,doi_merged.csv
chem.201706004,10.1002/chem.201706004,Advanced Continuous Flow Platform for On‐Demand Pharmaceutical Manufacturing,,doi_merged.csv
chem.201802588,10.1002/chem.201802588,Continuous <i>N</i>‐Hydroxyphthalimide (NHPI)‐Mediated Electrochemical Aerobic Oxidation of Benzylic C−H Bonds,,doi_merged.csv
chem.201903353,10.1002/chem.201903353,Flow Technology for the Genesis and Use of (Highly) Reactive Organometallic Reagents,,doi_merged.csv
chem.201904206,10.1002/chem.201904206,3D‐Printed Phenacrylate Decarboxylase Flow Reactors for the Chemoenzymatic Synthesis of 4‐Hydroxystilbene,,doi_merged.csv
chin.200828056,10.1002/chin.200828056,ChemInform Abstract: Trimethylaluminum Mediated Amide Bond Formation in a Continuous Flow Microreactor as Key to the Synthesis of Rimonabant and Efaproxiral.,,doi_merged.csv
cite.201600049,10.1002/cite.201600049,Sol‐Gel and Porous Glass‐Based Silica Monoliths with Hierarchical Pore Structure for Solid‐Liquid Catalysis,,doi_merged.csv
cptc.201900203,10.1002/cptc.201900203,The Right Light: De Novo Design of a Robust Modular Photochemical Reactor for Optimum Batch and Flow Chemistry,,doi_merged.csv
cs200103j,10.1021/cs200103j,Chemistry of Furan Conversion into Aromatics and Olefins over HZSM-5: A Model Biomass Conversion Reaction,,doi_merged.csv
cs501922e,10.1021/cs501922e,Environmentally Friendly Synthesis of γ-Valerolactone by Direct Catalytic Conversion of Renewable Sources,,doi_merged.csv
cssc.201100332,10.1002/cssc.201100332,"Highly Efficient 1,4‐Addition of Aldehydes to Nitroolefins: Organocatalysis in Continuous Flow by Solid‐Supported Peptidic Catalysts",,doi_merged.csv
cssc.201300197,10.1002/cssc.201300197,Continuous‐Flow Synthesis of Adipic Acid from Cyclohexene Using Hydrogen Peroxide in High‐Temperature Explosive Regimes,,doi_merged.csv
cssc.201903459,10.1002/cssc.201903459,Continuous‐Flow Amide and Ester Reductions Using Neat Borane Dimethylsulfide Complex,,doi_merged.csv
d0nj05978a,10.1039/d0nj05978a,Development of a continuous-flow tubular reactor for synthesis of 5-hydroxymethylfurfural from fructose using heterogeneous solid acid catalysts in biphasic reaction medium,,doi_merged.csv
d0re00335b,10.1039/d0re00335b,"The rise of continuous flow biocatalysis – fundamentals, very recent developments and future perspectives",,doi_merged.csv
d1cc02947a,10.1039/d1cc02947a,Tropylium-promoted Ritter reactions,,doi_merged.csv
d1re00016k,10.1039/d1re00016k,N-Doped carbon as a solid base catalyst for continuous flow Knoevenagel condensation,,doi_merged.csv
ed5005307,10.1021/ed5005307,Student-Fabricated Microfluidic Devices as Flow Reactors for Organic and Inorganic Synthesis,,doi_merged.csv
ef800027c,10.1021/ef800027c,Solar-Driven Coal Gasification in a Thermally Irradiated Packed-Bed Reactor,,doi_merged.csv
ejlt.201200321,10.1002/ejlt.201200321,Lipase‐catalyzed synthesis of secondary glucose esters under continuous flow conditions,,doi_merged.csv
ejoc.201403280,10.1002/ejoc.201403280,High‐Temperature Synthesis of Amides from Alcohols or Aldehydes by Using Flow Chemistry,,doi_merged.csv
ejoc.201700906,10.1002/ejoc.201700906,"Synthesis of Amines, Carbamates and Amides by Multi‐Step Continuous Flow Synthesis",,doi_merged.csv
ejoc.201700992,10.1002/ejoc.201700992,"Synthesis of Celecoxib, Mavacoxib, SC‐560, Fluxapyroxad, and Bixafen Enabled by Continuous Flow Reaction Modules",,doi_merged.csv
ejoc.201701111,10.1002/ejoc.201701111,3D‐Printed Polypropylene Continuous‐Flow Column Reactors: Exploration of Reactor Utility in S<sub>N</sub>Ar Reactions and the Synthesis of Bicyclic and Tetracyclic Heterocycles,,doi_merged.csv
ejoc.201800149,10.1002/ejoc.201800149,Continuous Flow Organic Chemistry: Successes and Pitfalls at the Interface with Current Societal Challenges,,doi_merged.csv
ejoc.201900468,10.1002/ejoc.201900468,Fast and Efficient Continuous Flow Method for the Synthesis of Ynones and Pyrazoles,,doi_merged.csv
ejoc.202000705,10.1002/ejoc.202000705,Heterogeneous Catalysts “on the Move”: Flow Chemistry with Fluid Immobilised (Bio)Catalysts,,doi_merged.csv
ejoc.202100795,10.1002/ejoc.202100795,Scalable Synthesis of Norbornadienes via <i>in situ</i> Cracking of Dicyclopentadiene Using Continuous Flow Chemistry,,doi_merged.csv
gps-2012-0008,10.1515/gps-2012-0008,Micro reactor and flow chemistry for industrial applications in drug discovery and development,,doi_merged.csv
gps-2016-0138,10.1515/gps-2016-0138,Synthesis of iron oxide nanoparticles in a continuous flow spiral microreactor and Corning <sup>®</sup> advanced flow™ reactor,,doi_merged.csv
hlca.200490304,10.1002/hlca.200490304,Modular Microreaction Systems for Homogeneously and Heterogeneously Catalyzed Chemical Synthesis,,doi_merged.csv
hlca.201900172,10.1002/hlca.201900172,Synthesis of Organometallic Compounds in Flow,,doi_merged.csv
ie020733n,10.1021/ie020733n,Reaction Kinetics of Amino Acid Decomposition in High-Temperature and High-Pressure Water,,doi_merged.csv
ie040285e,10.1021/ie040285e,"Synthesis of Organic Compounds Using Polymer-Supported Reagents, Catalysts, and/or Scavengers in Benchtop Flow Systems",,doi_merged.csv
ie100507z,10.1021/ie100507z,Dynamic Methods in Catalytic Reaction Engineering: Applications to the Investigation of the NH<sub>3</sub> Selective Catalytic Reduction Reactions for Diesel Emission Control,,doi_merged.csv
ie101346u,10.1021/ie101346u,Design and Packaging of Microreactors for High Pressure and High Temperature Applications,,doi_merged.csv
j.cattod.2017.09.041,10.1016/j.cattod.2017.09.041,Multiphase flow processing in microreactors combined with heterogeneous catalysis for efficient and sustainable chemical synthesis,,doi_merged.csv
j.cej.2020.126164,10.1016/j.cej.2020.126164,Simple and scalable fabrication of hairy ZnO@ZnS core@shell Cu cables for continuous sunlight-driven photocatalytic water remediation,,doi_merged.csv
j.ces.2018.06.050,10.1016/j.ces.2018.06.050,Continuous flow synthesis of ultrasmall gold nanoparticles in a microreactor using trisodium citrate and their SERS performance,,doi_merged.csv
j.coche.2020.05.002,10.1016/j.coche.2020.05.002,Flow chemistry remains an opportunity for chemists and chemical engineers,,doi_merged.csv
j.compchemeng.2016.05.009,10.1016/j.compchemeng.2016.05.009,A joint model-based experimental design approach for the identification of kinetic models in continuous flow laboratory reactors,,doi_merged.csv
j.eng.2020.06.025,10.1016/j.eng.2020.06.025,Engineering Research Progress of Electrochemical Microreaction Technology—A Novel Method for Electrosynthesis of Organic Chemicals,,doi_merged.csv
j.mcat.2020.110884,10.1016/j.mcat.2020.110884,Design and development of TiO2 coated microflow reactor for photocatalytic partial oxidation of benzyl alcohol,,doi_merged.csv
j.molcatb.2013.05.016,10.1016/j.molcatb.2013.05.016,Microfluidic multi-input reactor for biocatalytic synthesis using transketolase,,doi_merged.csv
j100393a001,10.1021/j100393a001,Systematic design of chemical oscillators. Part 7. An iodine-free chlorite-based oscillator. The chlorite-thiosulfate reaction in a continuous flow stirred tank reactor,,doi_merged.csv
ja0512069,10.1021/ja0512069,A Microreactor for Microwave-Assisted Capillary (Continuous Flow) Organic Synthesis,,doi_merged.csv
ja051381p,10.1021/ja051381p,High-Temperature Microfluidic Synthesis of CdSe Nanocrystals in Nanoliter Droplets,,doi_merged.csv
ja111346c,10.1021/ja111346c,Continuous Flow Enzyme-Catalyzed Polymerization in a Microreactor,,doi_merged.csv
ja209688a,10.1021/ja209688a,Continuous Production of Cu<sub>2</sub>ZnSnS<sub>4</sub> Nanocrystals in a Flow Reactor,,doi_merged.csv
ja412740p,10.1021/ja412740p,In Situ IR and X-ray High Spatial-Resolution Microspectroscopy Measurements of Multistep Organic Transformation in Flow Microreactor Catalyzed by Au Nanoclusters,,doi_merged.csv
ja512224g,10.1021/ja512224g,Electrochemically Responsive Heterogeneous Catalysis for Controlling Reaction Kinetics,,doi_merged.csv
ja8029174,10.1021/ja8029174,Multi-Step Microfluidic Polymerization Reactions Conducted in Droplets: The Internal Trigger Approach,,doi_merged.csv
jacs.0c03283,10.1021/jacs.0c03283,Water Is the Oxygen Source for Methanol Produced in Partial Oxidation of Methane in a Flow Reactor over Cu-SSZ-13,,doi_merged.csv
jacs.8b11860,10.1021/jacs.8b11860,Pickering Emulsion-Derived Liquid–Solid Hybrid Catalyst for Bridging Homogeneous and Heterogeneous Catalysis,,doi_merged.csv
jp065390b,10.1021/jp065390b,Plasma Synthesis of Large Quantities of Zinc Oxide Nanorods,,doi_merged.csv
jp509534k,10.1021/jp509534k,"Modeling the Radical Chemistry in an Oxidation Flow Reactor: Radical Formation and Recycling, Sensitivities, and the OH Exposure Estimation Equation",,doi_merged.csv
kin.20327,10.1002/kin.20327,Experimental measurements and kinetic modeling of CO/H<sub>2</sub>/O<sub>2</sub>/NO<sub>x</sub> conversion at high pressure,,doi_merged.csv
la050519e,10.1021/la050519e,Continuous Microfluidic Reactors for Polymer Particles,,doi_merged.csv
macp.200700588,10.1002/macp.200700588,Microstructured Reactors for Polymer Synthesis: A Renaissance of Continuous Flow Processes for Tailor‐Made Macromolecules?,,doi_merged.csv
macp.201600421,10.1002/macp.201600421,Precision Polymer Design in Microstructured Flow Reactors: Improved Control and First Upscale at Once,,doi_merged.csv
mnl.2017.0126,10.1049/mnl.2017.0126,Continuous flow synthesis of monodisperse gold nanoparticles by liquid‐phase reduction method on glass microfluidic device,,doi_merged.csv
molecules21070918,10.3390/molecules21070918,Exploring Flow Procedures for Diazonium Formation,,doi_merged.csv
molecules23010043,10.3390/molecules23010043,Amine-Functionalized Sugarcane Bagasse: A Renewable Catalyst for Efficient Continuous Flow Knoevenagel Condensation Reaction at Room Temperature,,doi_merged.csv
molecules25143307,10.3390/molecules25143307,Study on the Microwave-Assisted Batch and Continuous Flow Synthesis of N-Alkyl-Isoindolin-1-One-3-Phosphonates by a Special Kabachnik–Fields Condensation,,doi_merged.csv
ncomms4777,10.1038/ncomms4777,Controlled multistep synthesis in a three-phase droplet reactor,,doi_merged.csv
ncomms6305,10.1038/ncomms6305,Vesicle-based artificial cells as chemical microreactors with spatially segregated reaction pathways,,doi_merged.csv
nl0485859,10.1021/nl0485859,Synthesis of Silver Nanoparticles in a Continuous Flow Tubular Microreactor,,doi_merged.csv
nl102478q,10.1021/nl102478q,Plasmonic Nanoshell Synthesis in Microfluidic Composite Foams,,doi_merged.csv
ol303046e,10.1021/ol303046e,Continuous Flow Sonogashira C–C Coupling Using a Heterogeneous Palladium–Copper Dual Reactor,,doi_merged.csv
ol702718z,10.1021/ol702718z,Spurring Radical Reactions of Organic Halides with Tin Hydride and TTMSS Using Microreactors,,doi_merged.csv
op0100504,10.1021/op0100504,"Continuous Processing to Control a Potentially Hazardous Process:  Conversion of Aryl 1,1-Dimethylpropargyl Ethers to 2,2-Dimethylchromenes (2,2-Dimethyl-2<i>H</i>-1-Benzopyrans)",,doi_merged.csv
op025561k,10.1021/op025561k,Continuous Synthesis of an Intermediate of Quinolone Antibiotic Drug Using Static Mixers,,doi_merged.csv
op034181b,10.1021/op034181b,Development and Applications of a Practical Continuous Flow Microwave Cell,,doi_merged.csv
op049857x,10.1021/op049857x,Solid-Supported Continuous Flow Synthesis in Microreactors Using Electroosmotic Flow,,doi_merged.csv
op100055f,10.1021/op100055f,"Efficient Synthesis of 1,3-Dialkylimidazolium-Based Ionic Liquids: The Modified Continuous Radziszewski Reaction in a Microreactor Setup",,doi_merged.csv
op100123e,10.1021/op100123e,An Automated Microfluidic System for Online Optimization in Chemical Synthesis,,doi_merged.csv
op100288t,10.1021/op100288t,"A General, One-Step Synthesis of Substituted Indazoles using a Flow Reactor",,doi_merged.csv
op2000699,10.1021/op2000699,Multijet Oscillating Disc Millireactor: A Novel Approach for Continuous Flow Organic Synthesis,,doi_merged.csv
op2001047,10.1021/op2001047,A Scalable Two-Step Continuous Flow Synthesis of Nabumetone and Related 4-Aryl-2-butanones,,doi_merged.csv
op200349f,10.1021/op200349f,Mixing and Dispersion in Small-Scale Flow Systems,,doi_merged.csv
op300273u,10.1021/op300273u,Continuous Flow Synthesis of <i>n</i>-Alkyl Chlorides in a High-Temperature Microreactor Environment,,doi_merged.csv
op400026g,10.1021/op400026g,A Continuous-Flow Microwave Reactor for Conducting High-Temperature and High-Pressure Chemical Reactions,,doi_merged.csv
op400073p,10.1021/op400073p,On the Potential of Organic Solvent Nanofiltration in Continuous Heck Coupling Reactions,,doi_merged.csv
op400090a,10.1021/op400090a,The Synthesis of Bromomethyltrifluoroborates through Continuous Flow Chemistry,,doi_merged.csv
op500204z,10.1021/op500204z,Pilot-Scale Continuous Production of LY2886721: Amide Formation and Reactive Crystallization,,doi_merged.csv
op700225u,10.1021/op700225u,Continuous Flow Microwave-Assisted Reaction Optimization and Scale-Up Using Fluorous Spacer Technology,,doi_merged.csv
photochemflow (1),,photochemflow (1),,filename_only
photochemflow (10),10.56687/9781447324416-013,10. Upgrade to 10-10-10,2015,crossref_api
photochemflow (100),10.51566/catalogos2119,"Emiliano Zapata: 100 años, 100 fotos / Emiliano Zapata: 100 years, 100 photographs",2022,crossref_api
photochemflow (102),10.1515/9783112573488-121,Anlage 102 Anlage 102,1972,crossref_api
photochemflow (103),10.5005/jp/books/11592_103,Case-103 Case 103,2012,crossref_api
photochemflow (104),10.5005/jp/books/11592_104,Case-104 Case 104,2012,crossref_api
photochemflow (105),10.5005/jp/books/11592_105,Case-105 Case 105,2012,crossref_api
photochemflow (106),10.5005/jp/books/11592_106,Case-106 Case 106,2012,crossref_api
photochemflow (107),10.1038/scibx.2011.957,MicroRNA-107 (miR-107),2011,crossref_api
photochemflow (108),10.1086/spsv13p275,108 Uses of 108,1999,crossref_api
photochemflow (109),10.5005/jp/books/11592_109,Case-109 Case 109,2012,crossref_api
photochemflow (110),10.1002/9781119007104.ch139,Rhodamine 110 (RH 110),2015,crossref_api
photochemflow (111),10.5005/jp/books/11592_111,Case-111 Case 111,2012,crossref_api
photochemflow (112),10.5005/jp/books/11592_112,Case-112 Case 112,2012,crossref_api
photochemflow (113),10.1097/00004424-198609000-00131,113 ABSTRACT #113 WITHDRAWN,1986,crossref_api
